AOR, a, aerr, inc, incerr, poly, polyerr, FpFs, FpFserr, Tb, Tberr, Tsec, Tsecerr
r53515008, 3.06, 0.18, 78.7, 2.09, -0.028, 0.009, 3633, 67, 2988, 35, 2457289.2035, 0.00029
r53515520, 3.28, 0.18, 81.15, 2.26, -0.046, 0.009, 3454, 70, 2890, 37, 2457288.26257, 0.00029
r53515776, 3.48, 0.14, 83.27, 1.85, -0.041, 0.008, 3640, 68, 2984, 38, 2457286.37946, 0.00028
r53516032, 3.15, 0.15, 80.42, 1.75, -0.011, 0.009, 3954, 69, 3147, 37, 2457283.55482, 0.00028
r53516288, 3.38, 0.18, 82.32, 2.27, -0.013, 0.009, 3616, 69, 2973, 38, 2457295.79433, 0.0003
r53516800, 3.34, 0.15, 82.04, 1.94, -0.038, 0.008, 3984, 66, 3163, 36, 2457279.78877, 0.00026
r53517056, 3.32, 0.19, 82.08, 2.41, -0.025, 0.008, 3585, 71, 2943, 37, 2457293.91153, 0.00031
r53517312, 3.43, 0.16, 83.09, 2.22, -0.035, 0.01, 3919, 78, 3166, 41, 2457278.84855, 0.00028
r53517568, 3.46, 0.14, 83.38, 1.95, -0.039, 0.008, 3700, 68, 3011, 37, 2457275.08202, 0.0003
r53517824, 3.48, 0.15, 83.29, 2.05, -0.03, 0.008, 3810, 68, 3079, 37, 2457274.14104, 0.00029
